"task","id","group","session","phase","piss","thirsty","hungry"
"internal",132,"control","second",5,63.46154,41.48352,55.49451
"internal",133,"control","second",1,8.241758,50,56.86813
"internal",133,"control","second",2,8.241758,50,57.14286
"internal",133,"control","second",3,8.241758,43.13187,53.57143
"internal",133,"control","second",4,8.241758,42.85714,53.02198
"internal",133,"control","second",5,24.72527,41.48352,50
"internal",201,"obese","second",1,17.30769,40.65934,18.13187
"internal",201,"obese","second",2,17.58242,16.75824,14.01099
"internal",201,"obese","second",3,30.76923,20.87912,23.35165
"internal",201,"obese","second",4,28.57143,28.57143,25
"internal",201,"obese","second",5,37.63736,35.43956,59.89011
"internal",202,"obese","second",1,23.62637,80.49451,70.05495
"internal",202,"obese","second",2,20.05495,78.57143,69.78022
"internal",202,"obese","second",3,13.18681,79.12088,71.97802
"internal",202,"obese","second",4,45.87912,87.08791,76.0989
"internal",202,"obese","second",5,58.24176,89.28571,72.25275
"internal",203,"obese","second",1,19.23077,64.56044,29.67033
"internal",203,"obese","second",2,36.81319,28.2967,28.84615
"internal",203,"obese","second",3,72.25275,14.56044,16.75824
"internal",203,"obese","second",4,84.06593,11.26374,11.81319
"internal",203,"obese","second",5,91.20879,10.16484,9.340659
"internal",204,"obese","second",1,15.93407,27.47253,55.76923
"internal",204,"obese","second",2,17.30769,11.53846,54.12088
"internal",204,"obese","second",3,68.95604,11.53846,53.02198
"internal",204,"obese","second",4,87.63736,8.241758,55.49451
"internal",204,"obese","second",5,86.26374,12.08791,50
"internal",205,"obese","second",1,33.51648,59.06593,56.04396
"internal",205,"obese","second",2,28.84615,61.26374,70.32967
"internal",205,"obese","second",3,40.38462,67.03297,69.23077
"internal",205,"obese","second",4,42.30769,65.93407,65.93407
"internal",205,"obese","second",5,42.03297,74.45055,63.46154
"internal",206,"obese","second",1,8.241758,79.67033,70.87912
"internal",206,"obese","second",2,8.241758,20.87912,91.75824
"internal",206,"obese","second",3,8.241758,8.241758,91.75824
"internal",206,"obese","second",4,8.241758,15.93407,91.75824
"internal",206,"obese","second",5,16.75824,8.241758,83.79121
"internal",207,"obese","second",1,8.241758,9.89011,54.67033
"internal",207,"obese","second",2,8.241758,8.241758,54.12088
"internal",207,"obese","second",3,8.241758,8.241758,53.57143
"internal",207,"obese","second",4,8.241758,8.241758,50.27473
"internal",207,"obese","second",5,13.46154,8.241758,26.92308
"internal",208,"obese","second",1,8.241758,50.82418,91.75824
"internal",208,"obese","second",2,8.241758,25.27473,86.81319
"internal",208,"obese","second",3,8.241758,24.45055,27.1978
"internal",208,"obese","second",4,91.75824,8.241758,26.92308
"internal",208,"obese","second",5,91.75824,8.241758,8.241758
"internal",209,"obese","second",1,8.241758,57.69231,39.56044
"internal",209,"obese","second",2,8.241758,66.48352,42.58242
"internal",209,"obese","second",3,8.241758,67.03297,71.42857
"internal",209,"obese","second",4,8.241758,86.81319,75.54945
"internal",209,"obese","second",5,70.87912,81.04396,76.0989
"internal",210,"obese","second",1,10.98901,71.15385,28.2967
"internal",210,"obese","second",2,23.35165,33.24176,37.36264
"internal",210,"obese","second",3,29.12088,12.08791,18.68132
"internal",210,"obese","second",4,50,43.68132,56.31868
"internal",210,"obese","second",5,77.1978,8.241758,73.62637
"internal",211,"obese","second",1,8.241758,30.76923,21.42857
"internal",211,"obese","second",2,8.241758,22.52747,23.9011
"internal",211,"obese","second",3,8.241758,14.56044,21.97802
"internal",211,"obese","second",4,17.03297,27.47253,25
"internal",211,"obese","second",5,23.07692,8.241758,31.59341
"internal",212,"obese","second",1,24.17582,56.86813,8.241758
"internal",212,"obese","second",2,46.15385,54.94505,8.241758
"internal",212,"obese","second",3,NA,NA,NA
"internal",212,"obese","second",4,NA,NA,NA
"internal",212,"obese","second",5,NA,NA,NA
"internal",213,"obese","second",1,15.38462,31.04396,28.84615
"internal",213,"obese","second",2,50,19.50549,19.78022
"internal",213,"obese","second",3,16.48352,17.30769,19.50549
"internal",213,"obese","second",4,13.46154,12.91209,15.93407
"internal",213,"obese","second",5,14.56044,15.10989,17.85714
"internal",214,"obese","second",1,62.63736,56.31868,50
"internal",214,"obese","second",2,17.85714,54.3956,57.14286
"internal",214,"obese","second",3,42.03297,50,31.86813
"internal",214,"obese","second",4,42.30769,41.75824,50
"internal",214,"obese","second",5,64.56044,47.25275,50
"internal",215,"obese","second",1,8.241758,61.81319,78.84615
"internal",215,"obese","second",2,11.53846,39.28571,66.75824
"internal",215,"obese","second",3,15.38462,36.26374,64.83516
"internal",215,"obese","second",4,76.64835,22.52747,50
"internal",215,"obese","second",5,91.75824,8.516484,8.241758
"internal",216,"obese","second",1,8.241758,79.67033,25.54945
"internal",216,"obese","second",2,8.241758,69.50549,27.47253
"internal",216,"obese","second",3,8.241758,55.76923,14.56044
"internal",216,"obese","second",4,8.241758,62.36264,40.38462
"internal",216,"obese","second",5,8.241758,26.0989,70.6044
"internal",217,"obese","second",1,49.45055,59.34066,61.26374
"internal",217,"obese","second",2,22.8022,62.91209,50
"internal",217,"obese","second",3,83.51648,54.67033,57.69231
"internal",217,"obese","second",4,9.340659,62.08791,61.53846
"internal",217,"obese","second",5,NA,NA,NA
"internal",218,"obese","second",1,16.20879,41.75824,54.67033
"internal",218,"obese","second",2,12.63736,54.12088,57.41758
"internal",218,"obese","second",3,51.92308,55.21978,46.15385
"internal",218,"obese","second",4,20.05495,42.30769,41.75824
"internal",218,"obese","second",5,64.01099,58.79121,18.40659
"internal",219,"obese","second",1,8.241758,41.75824,62.08791
"internal",219,"obese","second",2,11.53846,8.241758,59.89011
