"task","id","group","session","trial","condition","trialxcondition","RT","ACC","liking"
"pav",107,"control","second",26,"CSplus",13,0.5011351,1,54.3956
"pav",107,"control","second",27,"CSplus",14,0.5701432,1,54.3956
"pav",107,"control","second",28,"CSminus",14,0.4559988,1,70.05495
"pav",107,"control","second",29,"CSplus",15,0.293383,1,54.3956
"pav",107,"control","second",30,"CSminus",15,0.4850405,1,70.05495
"pav",107,"control","second",31,"CSplus",16,0.7936024,1,54.3956
"pav",107,"control","second",32,"CSminus",16,0.5055385,1,70.05495
"pav",107,"control","second",33,"CSplus",17,0.5159794,1,54.3956
"pav",107,"control","second",34,"CSminus",17,0.4656279,1,70.05495
"pav",107,"control","second",35,"CSplus",18,0.4455607,1,54.3956
"pav",107,"control","second",36,"CSminus",18,0.5938091,1,70.05495
"pav",107,"control","second",37,"CSplus",19,0.5176639,1,54.3956
"pav",107,"control","second",38,"CSminus",19,0.5880519,1,70.05495
"pav",107,"control","second",39,"CSplus",20,0.7857434,1,54.3956
"pav",107,"control","second",40,"CSminus",20,0.6007056,1,70.05495
"pav",108,"control","second",1,"CSminus",1,0.2782509,1,51.92308
"pav",108,"control","second",2,"CSplus",1,0.3038978,1,84.89011
"pav",108,"control","second",3,"CSminus",2,0.379308,1,51.92308
"pav",108,"control","second",4,"CSplus",2,0.3969776,1,84.89011
"pav",108,"control","second",5,"CSminus",3,0.4180232,1,51.92308
"pav",108,"control","second",6,"CSplus",3,0.2886154,1,84.89011
"pav",108,"control","second",7,"CSplus",4,0.3212906,1,84.89011
"pav",108,"control","second",8,"CSminus",4,0.3681198,1,51.92308
"pav",108,"control","second",9,"CSplus",5,0.3633264,1,84.89011
"pav",108,"control","second",10,"CSminus",5,0.3198447,1,51.92308
"pav",108,"control","second",11,"CSplus",6,0.2498254,1,84.89011
"pav",108,"control","second",12,"CSminus",6,0.7724983,1,51.92308
"pav",108,"control","second",13,"CSplus",7,0.5260012,1,84.89011
"pav",108,"control","second",14,"CSminus",7,0.6291443,1,51.92308
"pav",108,"control","second",15,"CSplus",8,0.2939698,1,84.89011
"pav",108,"control","second",16,"CSminus",8,0.2669575,1,51.92308
"pav",108,"control","second",17,"CSplus",9,0.4955654,1,84.89011
"pav",108,"control","second",18,"CSminus",9,0.3244822,1,51.92308
"pav",108,"control","second",19,"CSplus",10,0.3654911,1,84.89011
"pav",108,"control","second",20,"CSminus",10,0.330666,1,51.92308
"pav",108,"control","second",21,"CSplus",11,0.3537441,1,84.89011
"pav",108,"control","second",22,"CSminus",11,0.301526,1,51.92308
"pav",108,"control","second",23,"CSminus",12,0.6123699,1,51.92308
"pav",108,"control","second",24,"CSplus",12,0.2929935,1,84.89011
"pav",108,"control","second",25,"CSplus",13,0.3732455,1,84.89011
"pav",108,"control","second",26,"CSminus",13,0.3072302,1,51.92308
"pav",108,"control","second",27,"CSminus",14,0.3888665,1,51.92308
"pav",108,"control","second",28,"CSplus",14,0.3537589,1,84.89011
"pav",108,"control","second",29,"CSminus",15,0.3784064,1,51.92308
"pav",108,"control","second",30,"CSplus",15,0.3850107,1,84.89011
"pav",108,"control","second",31,"CSminus",16,0.39236,1,51.92308
"pav",108,"control","second",32,"CSplus",16,0.3409561,1,84.89011
"pav",108,"control","second",33,"CSplus",17,0.4020587,1,84.89011
"pav",108,"control","second",34,"CSminus",17,0.3558623,1,51.92308
"pav",108,"control","second",35,"CSplus",18,0.477788,1,84.89011
"pav",108,"control","second",36,"CSminus",18,0.3291784,1,51.92308
"pav",108,"control","second",37,"CSplus",19,0.2721592,1,84.89011
"pav",108,"control","second",38,"CSminus",19,0.3789773,1,51.92308
"pav",108,"control","second",39,"CSplus",20,0.3772861,1,84.89011
"pav",108,"control","second",40,"CSminus",20,0.2865698,1,51.92308
"pav",109,"control","second",1,"CSminus",1,0.3162868,1,51.37363
"pav",109,"control","second",2,"CSplus",1,0.3366753,1,55.49451
"pav",109,"control","second",3,"CSminus",2,0.5721321,1,51.37363
"pav",109,"control","second",4,"CSplus",2,0.6594195,1,55.49451
"pav",109,"control","second",5,"CSplus",3,0.3133197,1,55.49451
"pav",109,"control","second",6,"CSminus",3,0.5111467,1,51.37363
"pav",109,"control","second",7,"CSminus",4,0.3790402,1,51.37363
"pav",109,"control","second",8,"CSplus",4,0.6693311,1,55.49451
"pav",109,"control","second",9,"CSminus",5,0.3237965,1,51.37363
"pav",109,"control","second",10,"CSplus",5,0.311327,1,55.49451
"pav",109,"control","second",11,"CSplus",6,0.5974814,1,55.49451
"pav",109,"control","second",12,"CSminus",6,0.8892849,1,51.37363
"pav",109,"control","second",13,"CSminus",7,0.5318754,1,51.37363
"pav",109,"control","second",14,"CSplus",7,0.474258,1,55.49451
"pav",109,"control","second",15,"CSminus",8,0.5025603,1,51.37363
"pav",109,"control","second",16,"CSplus",8,0.4711273,1,55.49451
"pav",109,"control","second",17,"CSminus",9,0.3192347,1,51.37363
"pav",109,"control","second",18,"CSplus",9,0.4893114,1,55.49451
"pav",109,"control","second",19,"CSplus",10,0.3840212,1,55.49451
"pav",109,"control","second",20,"CSminus",10,0.4652809,1,51.37363
"pav",109,"control","second",21,"CSplus",11,0.5811143,1,55.49451
"pav",109,"control","second",22,"CSminus",11,0.6010781,1,51.37363
"pav",109,"control","second",23,"CSplus",12,0.4616149,1,55.49451
"pav",109,"control","second",24,"CSminus",12,0.419269,1,51.37363
"pav",109,"control","second",25,"CSminus",13,0.3999543,1,51.37363
"pav",109,"control","second",26,"CSplus",13,0.4383174,1,55.49451
"pav",109,"control","second",27,"CSplus",14,0.452466,1,55.49451
"pav",109,"control","second",28,"CSminus",14,0.4637016,1,51.37363
"pav",109,"control","second",29,"CSplus",15,0.4459567,1,55.49451
"pav",109,"control","second",30,"CSminus",15,0.4939165,1,51.37363
"pav",109,"control","second",31,"CSplus",16,0.4843121,1,55.49451
"pav",109,"control","second",32,"CSminus",16,0.3624393,1,51.37363
"pav",109,"control","second",33,"CSplus",17,0.5072363,1,55.49451
"pav",109,"control","second",34,"CSminus",17,0.4724141,1,51.37363
"pav",109,"control","second",35,"CSminus",18,0.5515092,1,51.37363
"pav",109,"control","second",36,"CSplus",18,0.307303,1,55.49451
"pav",109,"control","second",37,"CSminus",19,0.4361024,1,51.37363
"pav",109,"control","second",38,"CSplus",19,0.4708492,1,55.49451
"pav",109,"control","second",39,"CSplus",20,0.5865357,1,55.49451
"pav",109,"control","second",40,"CSminus",20,0.6974512,1,51.37363
"pav",110,"control","second",1,"CSplus",1,0.5472446,1,56.04396
"pav",110,"control","second",2,"CSminus",1,0.5285968,1,40.38462
"pav",110,"control","second",3,"CSplus",2,0.5166992,1,56.04396
"pav",110,"control","second",4,"CSminus",2,0.3522006,1,40.38462
"pav",110,"control","second",5,"CSminus",3,0.3130993,1,40.38462
"pav",110,"control","second",6,"CSplus",3,0.3804588,1,56.04396
"pav",110,"control","second",7,"CSplus",4,0.2239427,1,56.04396
"pav",110,"control","second",8,"CSminus",4,0.2473297,1,40.38462
"pav",110,"control","second",9,"CSplus",5,0.2341857,1,56.04396
"pav",110,"control","second",10,"CSminus",5,0.2669909,1,40.38462
"pav",110,"control","second",11,"CSplus",6,0.4041803,1,56.04396
"pav",110,"control","second",12,"CSminus",6,0.2452664,1,40.38462
"pav",110,"control","second",13,"CSminus",7,0.2294237,1,40.38462
"pav",110,"control","second",14,"CSplus",7,0.2898362,1,56.04396
"pav",110,"control","second",15,"CSminus",8,0.2373545,1,40.38462
"pav",110,"control","second",16,"CSplus",8,0.6290406,1,56.04396
"pav",110,"control","second",17,"CSplus",9,0.4509224,1,56.04396
"pav",110,"control","second",18,"CSminus",9,0.3006869,1,40.38462
"pav",110,"control","second",19,"CSminus",10,0.392351,1,40.38462
"pav",110,"control","second",20,"CSplus",10,0.3896511,1,56.04396
"pav",110,"control","second",21,"CSminus",11,0,0,40.38462
"pav",110,"control","second",22,"CSplus",11,0.2497255,1,56.04396
"pav",110,"control","second",23,"CSplus",12,0.9979127,1,56.04396
"pav",110,"control","second",24,"CSminus",12,0.4180113,1,40.38462
"pav",110,"control","second",25,"CSminus",13,0.299207,1,40.38462
"pav",110,"control","second",26,"CSplus",13,0.08559838,1,56.04396
"pav",110,"control","second",27,"CSplus",14,0.1635062,1,56.04396
"pav",110,"control","second",28,"CSminus",14,0.2974828,1,40.38462
"pav",110,"control","second",29,"CSplus",15,0.9685251,1,56.04396
"pav",110,"control","second",30,"CSminus",15,0.3123482,1,40.38462
"pav",110,"control","second",31,"CSplus",16,0.3505575,1,56.04396
"pav",110,"control","second",32,"CSminus",16,0.281966,1,40.38462
"pav",110,"control","second",33,"CSminus",17,0.2380717,1,40.38462
"pav",110,"control","second",34,"CSplus",17,0.3346282,1,56.04396
"pav",110,"control","second",35,"CSplus",18,0.2193533,1,56.04396
"pav",110,"control","second",36,"CSminus",18,0.2616122,1,40.38462
"pav",110,"control","second",37,"CSminus",19,0.2647689,1,40.38462
"pav",110,"control","second",38,"CSplus",19,0.2384848,1,56.04396
"pav",110,"control","second",39,"CSplus",20,0.3408649,1,56.04396
"pav",110,"control","second",40,"CSminus",20,0.3143672,1,40.38462
"pav",112,"control","second",1,"CSplus",1,0.3409414,1,84.89011
"pav",112,"control","second",2,"CSminus",1,0.3941179,1,47.25275
"pav",112,"control","second",3,"CSminus",2,0.453678,1,47.25275
"pav",112,"control","second",4,"CSplus",2,0.3644374,1,84.89011
"pav",112,"control","second",5,"CSplus",3,0.315146,1,84.89011
"pav",112,"control","second",6,"CSminus",3,0.3404346,1,47.25275
"pav",112,"control","second",7,"CSminus",4,0.2593388,1,47.25275
"pav",112,"control","second",8,"CSplus",4,0.2502668,1,84.89011
"pav",112,"control","second",9,"CSminus",5,0.254385,1,47.25275
"pav",112,"control","second",10,"CSplus",5,0.2511546,1,84.89011
"pav",112,"control","second",11,"CSplus",6,0.290349,1,84.89011
"pav",112,"control","second",12,"CSminus",6,0.2351053,1,47.25275
"pav",112,"control","second",13,"CSminus",7,0.3381949,1,47.25275
"pav",112,"control","second",14,"CSplus",7,0.2752671,1,84.89011
"pav",112,"control","second",15,"CSminus",8,0.2775164,1,47.25275
"pav",112,"control","second",16,"CSplus",8,0.3495823,1,84.89011
"pav",112,"control","second",17,"CSminus",9,0.3728933,1,47.25275
"pav",112,"control","second",18,"CSplus",9,0.2986746,1,84.89011
"pav",112,"control","second",19,"CSminus",10,0.3487644,1,47.25275
"pav",112,"control","second",20,"CSplus",10,0.3137912,1,84.89011
"pav",112,"control","second",21,"CSplus",11,0.3106675,1,84.89011
"pav",112,"control","second",22,"CSminus",11,0.301415,1,47.25275
"pav",112,"control","second",23,"CSminus",12,0.2762793,1,47.25275
"pav",112,"control","second",24,"CSplus",12,0.2657682,1,84.89011
"pav",112,"control","second",25,"CSplus",13,0.3523368,1,84.89011
"pav",112,"control","second",26,"CSminus",13,0.2650517,1,47.25275
"pav",112,"control","second",27,"CSplus",14,0.3085459,1,84.89011
"pav",112,"control","second",28,"CSminus",14,0.3150699,1,47.25275
"pav",112,"control","second",29,"CSplus",15,0.2290187,1,84.89011
"pav",112,"control","second",30,"CSminus",15,0.3393518,1,47.25275
"pav",112,"control","second",31,"CSminus",16,0.3612118,1,47.25275
"pav",112,"control","second",32,"CSplus",16,0.3399769,1,84.89011
"pav",112,"control","second",33,"CSminus",17,0.2420649,1,47.25275
"pav",112,"control","second",34,"CSplus",17,0.3807972,1,84.89011
"pav",112,"control","second",35,"CSminus",18,0.2341293,1,47.25275
"pav",112,"control","second",36,"CSplus",18,0.3675559,1,84.89011
"pav",112,"control","second",37,"CSplus",19,0.3905886,1,84.89011
"pav",112,"control","second",38,"CSminus",19,0.2868863,1,47.25275
"pav",112,"control","second",39,"CSplus",20,0.2410405,1,84.89011
"pav",112,"control","second",40,"CSminus",20,0.2377039,1,47.25275
"pav",113,"control","second",1,"CSplus",1,0.5634265,1,50
"pav",113,"control","second",2,"CSminus",1,0.4539604,1,50
"pav",113,"control","second",3,"CSplus",2,0.4019595,1,50
"pav",113,"control","second",4,"CSminus",2,0.7125939,1,50
"pav",113,"control","second",5,"CSminus",3,0.6261619,1,50
"pav",113,"control","second",6,"CSplus",3,0.549312,1,50
"pav",113,"control","second",7,"CSplus",4,0.4847526,1,50
"pav",113,"control","second",8,"CSminus",4,0.5573014,1,50
"pav",113,"control","second",9,"CSminus",5,0.5049686,1,50
"pav",113,"control","second",10,"CSplus",5,0.4885648,1,50
"pav",113,"control","second",11,"CSplus",6,0.5903487,1,50
"pav",113,"control","second",12,"CSminus",6,0.471073,1,50
"pav",113,"control","second",13,"CSplus",7,0.4434667,1,50
"pav",113,"control","second",14,"CSminus",7,0.5189423,1,50
"pav",113,"control","second",15,"CSminus",8,0.6014957,1,50
"pav",113,"control","second",16,"CSplus",8,0.5973255,1,50
"pav",113,"control","second",17,"CSminus",9,0.4717084,1,50
"pav",113,"control","second",18,"CSplus",9,0.544299,1,50
"pav",113,"control","second",19,"CSminus",10,0.6047983,1,50
"pav",113,"control","second",20,"CSplus",10,0.6111651,1,50
"pav",113,"control","second",21,"CSminus",11,0.531386,1,50
"pav",113,"control","second",22,"CSplus",11,0.5080967,1,50
"pav",113,"control","second",23,"CSminus",12,0.5104236,1,50
"pav",113,"control","second",24,"CSplus",12,0.4698684,1,50
"pav",113,"control","second",25,"CSminus",13,0.3992417,1,50
"pav",113,"control","second",26,"CSplus",13,0.6259316,1,50
"pav",113,"control","second",27,"CSplus",14,0.650261,1,50
"pav",113,"control","second",28,"CSminus",14,0.8443717,1,50
"pav",113,"control","second",29,"CSplus",15,0.5450139,1,50
"pav",113,"control","second",30,"CSminus",15,0.5813707,1,50
"pav",113,"control","second",31,"CSplus",16,0.7461351,1,50
"pav",113,"control","second",32,"CSminus",16,0.482891,1,50
"pav",113,"control","second",33,"CSplus",17,0.4490096,1,50
"pav",113,"control","second",34,"CSminus",17,0.6516421,1,50
"pav",113,"control","second",35,"CSminus",18,0.4002468,1,50
"pav",113,"control","second",36,"CSplus",18,0.624243,1,50
"pav",113,"control","second",37,"CSplus",19,0.4751701,1,50
"pav",113,"control","second",38,"CSminus",19,0.4464027,1,50
"pav",113,"control","second",39,"CSminus",20,0.6280751,1,50
"pav",113,"control","second",40,"CSplus",20,0.5480977,1,50
"pav",114,"control","second",1,"CSminus",1,0.8647785,1,15.10989
"pav",114,"control","second",2,"CSplus",1,0.0002883406,1,14.01099
"pav",114,"control","second",3,"CSminus",2,0.0002453621,1,15.10989
"pav",114,"control","second",4,"CSplus",2,0.0003098298,1,14.01099
"pav",114,"control","second",5,"CSminus",3,0.0002758319,1,15.10989
"pav",114,"control","second",6,"CSplus",3,0.09462959,1,14.01099
