"task","id","group","session","trial","grips","auc"
"inst",203,"obese","second",11,21,209
"inst",203,"obese","second",12,23,226
"inst",203,"obese","second",13,23,189
"inst",203,"obese","second",14,24,214
"inst",203,"obese","second",15,23,185.5
"inst",203,"obese","second",16,24,206
"inst",203,"obese","second",17,22,220.5
"inst",203,"obese","second",18,21,236.5
"inst",203,"obese","second",19,17,241.5
"inst",203,"obese","second",20,16,217
"inst",203,"obese","second",21,18,239
"inst",203,"obese","second",22,20,232
"inst",203,"obese","second",23,18,177
"inst",203,"obese","second",24,12,101
"inst",204,"obese","second",1,12,100
"inst",204,"obese","second",2,13,114
"inst",204,"obese","second",3,13,100
"inst",204,"obese","second",4,12,98
"inst",204,"obese","second",5,13,119
"inst",204,"obese","second",6,14,118.5
"inst",204,"obese","second",7,15,101
"inst",204,"obese","second",8,13,99
"inst",204,"obese","second",9,14,89
"inst",204,"obese","second",10,13,74
"inst",204,"obese","second",11,14,87
"inst",204,"obese","second",12,16,115
"inst",204,"obese","second",13,15,108
"inst",204,"obese","second",14,16,139
"inst",204,"obese","second",15,17,159
"inst",204,"obese","second",16,16,122
"inst",204,"obese","second",17,16,117
"inst",204,"obese","second",18,12,78
"inst",204,"obese","second",19,15,67.5
"inst",204,"obese","second",20,10,43
"inst",204,"obese","second",21,12,40
"inst",204,"obese","second",22,11,41
"inst",204,"obese","second",23,12,37
"inst",204,"obese","second",24,6,31
"inst",205,"obese","second",1,5,227
"inst",205,"obese","second",2,7,186.5
"inst",205,"obese","second",3,5,138
"inst",205,"obese","second",4,4,84
"inst",205,"obese","second",5,3,24
"inst",205,"obese","second",6,0,0
"inst",205,"obese","second",7,6,117.5
"inst",205,"obese","second",8,5,92
"inst",205,"obese","second",9,2,66
"inst",205,"obese","second",10,6,180.5
"inst",205,"obese","second",11,3,37
"inst",205,"obese","second",12,0,0
"inst",205,"obese","second",13,0,0
"inst",205,"obese","second",14,4,59
"inst",205,"obese","second",15,0,0
"inst",205,"obese","second",16,0,0
"inst",205,"obese","second",17,4,46
"inst",205,"obese","second",18,7,123
"inst",205,"obese","second",19,3,25
"inst",205,"obese","second",20,0,0
"inst",205,"obese","second",21,0,0
"inst",205,"obese","second",22,6,112.5
"inst",205,"obese","second",23,2,15
"inst",205,"obese","second",24,6,63
"inst",206,"obese","second",1,6,56
"inst",206,"obese","second",2,5,74.5
"inst",206,"obese","second",3,2,70
"inst",206,"obese","second",4,4,94
"inst",206,"obese","second",5,3,90
"inst",206,"obese","second",6,5,101
"inst",206,"obese","second",7,4,27
"inst",206,"obese","second",8,2,10
"inst",206,"obese","second",9,4,93
"inst",206,"obese","second",10,5,84.5
"inst",206,"obese","second",11,2,30
"inst",206,"obese","second",12,5,67
"inst",206,"obese","second",13,6,80
"inst",206,"obese","second",14,4,66
"inst",206,"obese","second",15,6,54
"inst",206,"obese","second",16,4,49
"inst",206,"obese","second",17,5,62
"inst",206,"obese","second",18,7,54
"inst",206,"obese","second",19,6,74
"inst",206,"obese","second",20,2,50
"inst",206,"obese","second",21,3,65
"inst",206,"obese","second",22,4,94
"inst",206,"obese","second",23,2,29
"inst",206,"obese","second",24,2,29
"inst",207,"obese","second",1,8,196
"inst",207,"obese","second",2,9,177
"inst",207,"obese","second",3,11,179
"inst",207,"obese","second",4,13,177.5
"inst",207,"obese","second",5,12,170
"inst",207,"obese","second",6,12,171
"inst",207,"obese","second",7,12,174
"inst",207,"obese","second",8,14,163
"inst",207,"obese","second",9,15,169
"inst",207,"obese","second",10,15,171
"inst",207,"obese","second",11,15,175
"inst",207,"obese","second",12,14,173
"inst",207,"obese","second",13,14,163
"inst",207,"obese","second",14,14,151.5
"inst",207,"obese","second",15,16,150
"inst",207,"obese","second",16,14,158
"inst",207,"obese","second",17,16,181
"inst",207,"obese","second",18,16,164
"inst",207,"obese","second",19,14,128
"inst",207,"obese","second",20,16,142
"inst",207,"obese","second",21,15,152
"inst",207,"obese","second",22,16,130.5
"inst",207,"obese","second",23,13,89
"inst",207,"obese","second",24,16,156
"inst",208,"obese","second",1,8,190
"inst",208,"obese","second",2,9,180
"inst",208,"obese","second",3,9,168
"inst",208,"obese","second",4,9,117
"inst",208,"obese","second",5,10,147.5
"inst",208,"obese","second",6,10,144
"inst",208,"obese","second",7,10,150
"inst",208,"obese","second",8,10,131
"inst",208,"obese","second",9,10,113
"inst",208,"obese","second",10,10,128
"inst",208,"obese","second",11,10,141
"inst",208,"obese","second",12,10,164.5
"inst",208,"obese","second",13,8,89
"inst",208,"obese","second",14,10,174
"inst",208,"obese","second",15,10,152
"inst",208,"obese","second",16,10,112
"inst",208,"obese","second",17,10,79
"inst",208,"obese","second",18,8,87
"inst",208,"obese","second",19,9,114
"inst",208,"obese","second",20,10,103
"inst",208,"obese","second",21,10,140
"inst",208,"obese","second",22,11,124
"inst",208,"obese","second",23,10,168
"inst",208,"obese","second",24,10,94
"inst",209,"obese","second",1,11,176
"inst",209,"obese","second",2,9,146
"inst",209,"obese","second",3,10,158
"inst",209,"obese","second",4,9,136.5
"inst",209,"obese","second",5,9,135
"inst",209,"obese","second",6,9,114
"inst",209,"obese","second",7,11,165
"inst",209,"obese","second",8,12,153
"inst",209,"obese","second",9,10,145.5
"inst",209,"obese","second",10,11,150.5
"inst",209,"obese","second",11,15,165
"inst",209,"obese","second",12,12,94
"inst",209,"obese","second",13,14,144
"inst",209,"obese","second",14,14,124
"inst",209,"obese","second",15,13,110
"inst",209,"obese","second",16,12,169
"inst",209,"obese","second",17,14,174
"inst",209,"obese","second",18,12,146
"inst",209,"obese","second",19,10,135
"inst",209,"obese","second",20,14,176
"inst",209,"obese","second",21,12,134
"inst",209,"obese","second",22,11,159
"inst",209,"obese","second",23,11,163.5
"inst",209,"obese","second",24,12,127
"inst",210,"obese","second",1,5,230
"inst",210,"obese","second",2,5,255.5
"inst",210,"obese","second",3,8,206
"inst",210,"obese","second",4,9,105
"inst",210,"obese","second",5,9,103.5
"inst",210,"obese","second",6,6,58
"inst",210,"obese","second",7,8,185
"inst",210,"obese","second",8,4,98
"inst",210,"obese","second",9,7,135
"inst",210,"obese","second",10,4,73
"inst",210,"obese","second",11,8,118
"inst",210,"obese","second",12,6,97.5
"inst",210,"obese","second",13,4,108
"inst",210,"obese","second",14,6,91.5
"inst",210,"obese","second",15,5,105
"inst",210,"obese","second",16,5,120
"inst",210,"obese","second",17,3,108.5
"inst",210,"obese","second",18,4,185
"inst",210,"obese","second",19,6,152
"inst",210,"obese","second",20,5,153
"inst",210,"obese","second",21,5,199.5
"inst",210,"obese","second",22,4,118
"inst",210,"obese","second",23,5,132
"inst",210,"obese","second",24,4,192
"inst",211,"obese","second",1,7,234
"inst",211,"obese","second",2,7,215
"inst",211,"obese","second",3,8,251.5
"inst",211,"obese","second",4,8,222
"inst",211,"obese","second",5,8,164.5
"inst",211,"obese","second",6,8,193
"inst",211,"obese","second",7,8,187
"inst",211,"obese","second",8,8,163.5
"inst",211,"obese","second",9,7,127.5
"inst",211,"obese","second",10,7,83.5
"inst",211,"obese","second",11,9,242.5
"inst",211,"obese","second",12,10,246.5
"inst",211,"obese","second",13,9,218.5
"inst",211,"obese","second",14,7,162
"inst",211,"obese","second",15,7,114
"inst",211,"obese","second",16,8,127
"inst",211,"obese","second",17,8,104
"inst",211,"obese","second",18,7,75.5
"inst",211,"obese","second",19,4,60
"inst",211,"obese","second",20,9,93.5
"inst",211,"obese","second",21,7,71
"inst",211,"obese","second",22,9,128
"inst",211,"obese","second",23,7,81
"inst",211,"obese","second",24,5,82.5
"inst",213,"obese","second",1,16,179
"inst",213,"obese","second",2,17,182
"inst",213,"obese","second",3,17,141.5
"inst",213,"obese","second",4,18,152.5
"inst",213,"obese","second",5,16,151
"inst",213,"obese","second",6,18,143
"inst",213,"obese","second",7,18,116.5
"inst",213,"obese","second",8,19,102
"inst",213,"obese","second",9,16,65
"inst",213,"obese","second",10,18,92.5
"inst",213,"obese","second",11,12,114
"inst",213,"obese","second",12,14,121
"inst",213,"obese","second",13,17,152
"inst",213,"obese","second",14,17,132.5
"inst",213,"obese","second",15,19,97
"inst",213,"obese","second",16,16,94
"inst",213,"obese","second",17,17,149
"inst",213,"obese","second",18,20,134
"inst",213,"obese","second",19,16,80
"inst",213,"obese","second",20,18,117.5
"inst",213,"obese","second",21,16,123
"inst",213,"obese","second",22,18,120
"inst",213,"obese","second",23,16,98
"inst",213,"obese","second",24,16,107.5
"inst",214,"obese","second",1,2,36
"inst",214,"obese","second",2,8,165
"inst",214,"obese","second",3,7,125
"inst",214,"obese","second",4,8,119.5
"inst",214,"obese","second",5,8,127.5
"inst",214,"obese","second",6,7,117
"inst",214,"obese","second",7,5,131
"inst",214,"obese","second",8,2,48
"inst",214,"obese","second",9,8,161.5
"inst",214,"obese","second",10,7,150
"inst",214,"obese","second",11,5,125
"inst",214,"obese","second",12,7,206
"inst",214,"obese","second",13,7,149
"inst",214,"obese","second",14,2,31
"inst",214,"obese","second",15,6,162
"inst",214,"obese","second",16,7,195
"inst",214,"obese","second",17,9,236.5
"inst",214,"obese","second",18,9,268
"inst",214,"obese","second",19,8,295.5
"inst",214,"obese","second",20,7,176.5
"inst",214,"obese","second",21,8,152
"inst",214,"obese","second",22,8,208
"inst",214,"obese","second",23,6,170
"inst",214,"obese","second",24,7,221.5
"inst",215,"obese","second",1,6,100
"inst",215,"obese","second",2,9,180.5
"inst",215,"obese","second",3,8,163.5
"inst",215,"obese","second",4,7,180
"inst",215,"obese","second",5,7,105.5
"inst",215,"obese","second",6,4,101
"inst",215,"obese","second",7,6,209
"inst",215,"obese","second",8,7,187
"inst",215,"obese","second",9,6,135
"inst",215,"obese","second",10,6,135
"inst",215,"obese","second",11,4,109
"inst",215,"obese","second",12,7,112
"inst",215,"obese","second",13,5,112
"inst",215,"obese","second",14,5,83
"inst",215,"obese","second",15,2,49
"inst",215,"obese","second",16,5,84
"inst",215,"obese","second",17,3,56
"inst",215,"obese","second",18,3,43
"inst",215,"obese","second",19,2,26
"inst",215,"obese","second",20,1,40
"inst",215,"obese","second",21,3,81
"inst",215,"obese","second",22,3,76
"inst",215,"obese","second",23,4,103
"inst",215,"obese","second",24,7,161
"inst",216,"obese","second",1,10,129.5
"inst",216,"obese","second",2,9,132
"inst",216,"obese","second",3,8,103
"inst",216,"obese","second",4,8,102
"inst",216,"obese","second",5,10,126
"inst",216,"obese","second",6,7,132
"inst",216,"obese","second",7,8,123
"inst",216,"obese","second",8,9,136
"inst",216,"obese","second",9,9,141
"inst",216,"obese","second",10,10,173
"inst",216,"obese","second",11,8,150
"inst",216,"obese","second",12,8,123
"inst",216,"obese","second",13,8,141.5
"inst",216,"obese","second",14,10,126.5
"inst",216,"obese","second",15,9,136
"inst",216,"obese","second",16,8,129
"inst",216,"obese","second",17,8,128
"inst",216,"obese","second",18,8,124
"inst",216,"obese","second",19,9,163.5
"inst",216,"obese","second",20,8,96
"inst",216,"obese","second",21,9,114
"inst",216,"obese","second",22,8,124.5
"inst",216,"obese","second",23,9,144
"inst",216,"obese","second",24,8,124.5
"inst",217,"obese","second",1,8,173
"inst",217,"obese","second",2,13,184.5
"inst",217,"obese","second",3,14,191.5
"inst",217,"obese","second",4,14,183.5
"inst",217,"obese","second",5,13,130
"inst",217,"obese","second",6,12,131
"inst",217,"obese","second",7,13,158
"inst",217,"obese","second",8,12,144
"inst",217,"obese","second",9,9,105.5
"inst",217,"obese","second",10,12,157
"inst",217,"obese","second",11,11,131.5
"inst",217,"obese","second",12,11,88
"inst",217,"obese","second",13,10,115
"inst",217,"obese","second",14,10,119.5
"inst",217,"obese","second",15,7,95
"inst",217,"obese","second",16,9,127
"inst",217,"obese","second",17,10,175.5
"inst",217,"obese","second",18,10,151
"inst",217,"obese","second",19,8,124
"inst",217,"obese","second",20,7,139
"inst",217,"obese","second",21,7,112.5
"inst",217,"obese","second",22,6,95
"inst",217,"obese","second",23,4,45.5
"inst",217,"obese","second",24,7,113.5
"inst",218,"obese","second",1,6,109
"inst",218,"obese","second",2,7,92
"inst",218,"obese","second",3,9,122
"inst",218,"obese","second",4,8,88
"inst",218,"obese","second",5,11,145
"inst",218,"obese","second",6,12,167
"inst",218,"obese","second",7,13,164
"inst",218,"obese","second",8,13,134
"inst",218,"obese","second",9,15,150
"inst",218,"obese","second",10,13,112
"inst",218,"obese","second",11,16,156
"inst",218,"obese","second",12,13,104
"inst",218,"obese","second",13,11,73
"inst",218,"obese","second",14,13,93
"inst",218,"obese","second",15,14,123
"inst",218,"obese","second",16,14,130
"inst",218,"obese","second",17,10,90
"inst",218,"obese","second",18,5,53
"inst",218,"obese","second",19,7,54
"inst",218,"obese","second",20,4,37
"inst",218,"obese","second",21,11,102
"inst",218,"obese","second",22,9,82
"inst",218,"obese","second",23,8,53
"inst",218,"obese","second",24,6,55
"inst",219,"obese","second",1,5,33
"inst",219,"obese","second",2,6,73
"inst",219,"obese","second",3,7,55
"inst",219,"obese","second",4,4,35
"inst",219,"obese","second",5,6,59.5
"inst",219,"obese","second",6,7,74
"inst",219,"obese","second",7,6,60
"inst",219,"obese","second",8,8,94
"inst",219,"obese","second",9,8,60
"inst",219,"obese","second",10,7,58
"inst",219,"obese","second",11,6,92
"inst",219,"obese","second",12,6,49.5
"inst",219,"obese","second",13,2,40
"inst",219,"obese","second",14,3,29.5
"inst",219,"obese","second",15,5,45
"inst",219,"obese","second",16,5,58
"inst",219,"obese","second",17,7,85
"inst",219,"obese","second",18,5,41
"inst",219,"obese","second",19,5,39
"inst",219,"obese","second",20,3,18
"inst",219,"obese","second",21,5,37
"inst",219,"obese","second",22,8,49
"inst",219,"obese","second",23,7,67.5
"inst",219,"obese","second",24,8,89
"inst",220,"obese","second",1,6,175
"inst",220,"obese","second",2,5,151
"inst",220,"obese","second",3,6,236
"inst",220,"obese","second",4,6,174
"inst",220,"obese","second",5,7,173.5
"inst",220,"obese","second",6,7,162
"inst",220,"obese","second",7,7,160
"inst",220,"obese","second",8,8,160
"inst",220,"obese","second",9,8,115
"inst",220,"obese","second",10,8,160.5
"inst",220,"obese","second",11,9,146
"inst",220,"obese","second",12,7,112
"inst",220,"obese","second",13,9,151.5
"inst",220,"obese","second",14,9,172
"inst",220,"obese","second",15,9,165
"inst",220,"obese","second",16,11,165
"inst",220,"obese","second",17,11,159
"inst",220,"obese","second",18,12,142.5
"inst",220,"obese","second",19,12,136
"inst",220,"obese","second",20,10,162
"inst",220,"obese","second",21,11,158
"inst",220,"obese","second",22,13,183
"inst",220,"obese","second",23,15,166
"inst",220,"obese","second",24,13,164
"inst",221,"obese","second",1,7,222.5
"inst",221,"obese","second",2,5,262.5
"inst",221,"obese","second",3,7,315
"inst",221,"obese","second",4,9,277.5
"inst",221,"obese","second",5,8,252.5
"inst",221,"obese","second",6,8,263.5
"inst",221,"obese","second",7,7,229
"inst",221,"obese","second",8,8,259
"inst",221,"obese","second",9,9,234.5
"inst",221,"obese","second",10,9,197
"inst",221,"obese","second",11,10,215
"inst",221,"obese","second",12,9,193
"inst",221,"obese","second",13,8,175
"inst",221,"obese","second",14,9,182.5
"inst",221,"obese","second",15,9,177
"inst",221,"obese","second",16,9,214.5
"inst",221,"obese","second",17,9,199
"inst",221,"obese","second",18,6,158
"inst",221,"obese","second",19,7,118
"inst",221,"obese","second",20,10,100.5
"inst",221,"obese","second",21,7,144
"inst",221,"obese","second",22,8,148.5
"inst",221,"obese","second",23,7,130
"inst",221,"obese","second",24,7,130
"inst",222,"obese","second",1,15,154
"inst",222,"obese","second",2,20,164
"inst",222,"obese","second",3,18,170
"inst",222,"obese","second",4,23,173
"inst",222,"obese","second",5,20,129.5
"inst",222,"obese","second",6,18,129
"inst",222,"obese","second",7,22,146
"inst",222,"obese","second",8,21,140.5
"inst",222,"obese","second",9,22,149.5
"inst",222,"obese","second",10,21,152
"inst",222,"obese","second",11,19,143
"inst",222,"obese","second",12,20,155.5
"inst",222,"obese","second",13,21,130
"inst",222,"obese","second",14,20,135
"inst",222,"obese","second",15,19,173
"inst",222,"obese","second",16,20,141
"inst",222,"obese","second",17,18,104
"inst",222,"obese","second",18,20,138
"inst",222,"obese","second",19,20,131
"inst",222,"obese","second",20,19,136.5
"inst",222,"obese","second",21,20,124
"inst",222,"obese","second",22,21,146
"inst",222,"obese","second",23,21,128
"inst",222,"obese","second",24,19,114
"inst",223,"obese","second",1,4,186
"inst",223,"obese","second",2,5,190
"inst",223,"obese","second",3,4,173
"inst",223,"obese","second",4,5,217.5
"inst",223,"obese","second",5,5,197
"inst",223,"obese","second",6,6,233
"inst",223,"obese","second",7,6,205.5
"inst",223,"obese","second",8,6,218
"inst",223,"obese","second",9,6,181
"inst",223,"obese","second",10,7,170
"inst",223,"obese","second",11,6,148
"inst",223,"obese","second",12,6,224
"inst",223,"obese","second",13,7,209.5
"inst",223,"obese","second",14,5,202
"inst",223,"obese","second",15,6,198
"inst",223,"obese","second",16,7,170.5
"inst",223,"obese","second",17,7,199
"inst",223,"obese","second",18,7,170
"inst",223,"obese","second",19,7,188
"inst",223,"obese","second",20,8,158.5
"inst",223,"obese","second",21,7,182.5
"inst",223,"obese","second",22,6,130
"inst",223,"obese","second",23,8,186
"inst",223,"obese","second",24,7,208
"inst",225,"obese","second",1,15,61
"inst",225,"obese","second",2,9,37
"inst",225,"obese","second",3,13,52
"inst",225,"obese","second",4,21,97.5
"inst",225,"obese","second",5,8,27
"inst",225,"obese","second",6,19,104.5
"inst",225,"obese","second",7,12,79
"inst",225,"obese","second",8,7,23
"inst",225,"obese","second",9,12,44
"inst",225,"obese","second",10,12,37.5
"inst",225,"obese","second",11,22,124
"inst",225,"obese","second",12,20,185
"inst",225,"obese","second",13,10,49
"inst",225,"obese","second",14,9,35
"inst",225,"obese","second",15,13,56
"inst",225,"obese","second",16,6,15
"inst",225,"obese","second",17,2,6
"inst",225,"obese","second",18,4,10
"inst",225,"obese","second",19,4,8
"inst",225,"obese","second",20,3,10
"inst",225,"obese","second",21,1,2
"inst",225,"obese","second",22,2,5
"inst",225,"obese","second",23,1,6
"inst",225,"obese","second",24,12,49
"inst",226,"obese","second",1,21,198.5
"inst",226,"obese","second",2,19,143.5
"inst",226,"obese","second",3,12,90.5
"inst",226,"obese","second",4,25,157
"inst",226,"obese","second",5,24,172
"inst",226,"obese","second",6,26,196
"inst",226,"obese","second",7,20,156.5
"inst",226,"obese","second",8,19,139
"inst",226,"obese","second",9,23,136
"inst",226,"obese","second",10,25,180
"inst",226,"obese","second",11,20,142
"inst",226,"obese","second",12,22,186
"inst",226,"obese","second",13,21,172
"inst",226,"obese","second",14,20,213
"inst",226,"obese","second",15,17,148
"inst",226,"obese","second",16,19,153
"inst",226,"obese","second",17,24,230
"inst",226,"obese","second",18,22,152
"inst",226,"obese","second",19,21,160
"inst",226,"obese","second",20,17,165
"inst",226,"obese","second",21,22,163.5
"inst",226,"obese","second",22,20,155
"inst",226,"obese","second",23,19,176
"inst",226,"obese","second",24,23,176.5
"inst",227,"obese","second",1,6,111
"inst",227,"obese","second",2,4,84
"inst",227,"obese","second",3,6,126.5
"inst",227,"obese","second",4,6,146
"inst",227,"obese","second",5,8,146
"inst",227,"obese","second",6,7,120.5
"inst",227,"obese","second",7,7,107
"inst",227,"obese","second",8,6,85
"inst",227,"obese","second",9,4,61
"inst",227,"obese","second",10,4,64
"inst",227,"obese","second",11,4,81
"inst",227,"obese","second",12,5,86
"inst",227,"obese","second",13,2,22
"inst",227,"obese","second",14,4,53
"inst",227,"obese","second",15,4,92
"inst",227,"obese","second",16,3,47
"inst",227,"obese","second",17,3,26
"inst",227,"obese","second",18,1,13
"inst",227,"obese","second",19,5,95
"inst",227,"obese","second",20,1,4
"inst",227,"obese","second",21,4,42
"inst",227,"obese","second",22,1,13
"inst",227,"obese","second",23,5,73
"inst",227,"obese","second",24,2,29
"inst",228,"obese","second",1,5,330.5
"inst",228,"obese","second",2,3,232
"inst",228,"obese","second",3,4,240.5
"inst",228,"obese","second",4,3,110
"inst",228,"obese","second",5,3,83
"inst",228,"obese","second",6,4,86
"inst",228,"obese","second",7,3,45.5
"inst",228,"obese","second",8,4,91.5
"inst",228,"obese","second",9,4,75
"inst",228,"obese","second",10,5,86
"inst",228,"obese","second",11,4,59
"inst",228,"obese","second",12,4,57
"inst",228,"obese","second",13,5,68
"inst",228,"obese","second",14,5,58
"inst",228,"obese","second",15,7,115
"inst",228,"obese","second",16,6,79
"inst",228,"obese","second",17,6,74
"inst",228,"obese","second",18,7,84
"inst",228,"obese","second",19,7,78
"inst",228,"obese","second",20,6,77
"inst",228,"obese","second",21,5,52
"inst",228,"obese","second",22,6,61
"inst",228,"obese","second",23,8,76.5
"inst",228,"obese","second",24,6,77
"inst",229,"obese","second",1,15,90
"inst",229,"obese","second",2,9,21
"inst",229,"obese","second",3,14,70
"inst",229,"obese","second",4,16,119.5
"inst",229,"obese","second",5,19,130
"inst",229,"obese","second",6,16,95
"inst",229,"obese","second",7,17,101
"inst",229,"obese","second",8,23,99
"inst",229,"obese","second",9,9,34
"inst",229,"obese","second",10,19,86
"inst",229,"obese","second",11,18,160
"inst",229,"obese","second",12,21,178.5
"inst",229,"obese","second",13,20,166
"inst",229,"obese","second",14,24,139
"inst",229,"obese","second",15,22,176
"inst",229,"obese","second",16,25,209.5
"inst",229,"obese","second",17,25,174
"inst",229,"obese","second",18,24,135.5
"inst",229,"obese","second",19,27,152
"inst",229,"obese","second",20,12,46
"inst",229,"obese","second",21,21,131
"inst",229,"obese","second",22,25,129
"inst",229,"obese","second",23,15,101
"inst",229,"obese","second",24,16,68
"inst",230,"obese","second",1,3,75
"inst",230,"obese","second",2,6,89
"inst",230,"obese","second",3,2,13
"inst",230,"obese","second",4,3,50
"inst",230,"obese","second",5,1,11
"inst",230,"obese","second",6,2,36
"inst",230,"obese","second",7,3,39
"inst",230,"obese","second",8,1,6
"inst",230,"obese","second",9,2,40
"inst",230,"obese","second",10,2,34
"inst",230,"obese","second",11,1,25
"inst",230,"obese","second",12,2,15
"inst",230,"obese","second",13,1,11
"inst",230,"obese","second",14,1,9
"inst",230,"obese","second",15,0,0
"inst",230,"obese","second",16,1,8
"inst",230,"obese","second",17,1,28
"inst",230,"obese","second",18,0,0
"inst",230,"obese","second",19,1,4
"inst",230,"obese","second",20,0,0
"inst",230,"obese","second",21,1,5
"inst",230,"obese","second",22,0,0
"inst",230,"obese","second",23,0,0
"inst",230,"obese","second",24,0,0
"inst",231,"obese","second",1,1,24
"inst",231,"obese","second",2,3,160.5
"inst",231,"obese","second",3,3,196
"inst",231,"obese","second",4,5,202
"inst",231,"obese","second",5,5,117
"inst",231,"obese","second",6,4,114
"inst",231,"obese","second",7,2,52
"inst",231,"obese","second",8,5,142
"inst",231,"obese","second",9,6,160
"inst",231,"obese","second",10,5,120
"inst",231,"obese","second",11,4,106
"inst",231,"obese","second",12,4,84
"inst",231,"obese","second",13,2,44
"inst",231,"obese","second",14,5,171
"inst",231,"obese","second",15,8,221
"inst",231,"obese","second",16,6,171
"inst",231,"obese","second",17,6,156
"inst",231,"obese","second",18,5,188
"inst",231,"obese","second",19,6,148
"inst",231,"obese","second",20,7,170
"inst",231,"obese","second",21,6,108
"inst",231,"obese","second",22,7,150
"inst",231,"obese","second",23,6,105
"inst",231,"obese","second",24,4,63.5
"inst",232,"obese","second",1,14,49
"inst",232,"obese","second",2,20,80.5
"inst",232,"obese","second",3,24,149.5
"inst",232,"obese","second",4,19,168.5
"inst",232,"obese","second",5,17,136
"inst",232,"obese","second",6,25,191
"inst",232,"obese","second",7,19,187
"inst",232,"obese","second",8,20,125
"inst",232,"obese","second",9,17,132
"inst",232,"obese","second",10,23,144
"inst",232,"obese","second",11,17,118
"inst",232,"obese","second",12,21,138
"inst",232,"obese","second",13,20,113
"inst",232,"obese","second",14,20,160.5
"inst",232,"obese","second",15,14,95
"inst",232,"obese","second",16,18,172
"inst",232,"obese","second",17,20,142
"inst",232,"obese","second",18,19,136.5
"inst",232,"obese","second",19,23,172
"inst",232,"obese","second",20,22,153.5
"inst",232,"obese","second",21,17,211
"inst",232,"obese","second",22,29,200
"inst",232,"obese","second",23,22,172
"inst",232,"obese","second",24,15,146
"inst",233,"obese","second",1,18,91
"inst",233,"obese","second",2,19,121
"inst",233,"obese","second",3,25,159.5
"inst",233,"obese","second",4,24,147
"inst",233,"obese","second",5,28,159
"inst",233,"obese","second",6,17,92
"inst",233,"obese","second",7,29,174
"inst",233,"obese","second",8,18,98
"inst",233,"obese","second",9,18,83
"inst",233,"obese","second",10,20,81
"inst",233,"obese","second",11,14,49
"inst",233,"obese","second",12,9,40
"inst",233,"obese","second",13,24,185
"inst",233,"obese","second",14,8,71
"inst",233,"obese","second",15,22,164.5
"inst",233,"obese","second",16,11,76
"inst",233,"obese","second",17,14,125
"inst",233,"obese","second",18,7,51
"inst",233,"obese","second",19,20,170.5
"inst",233,"obese","second",20,13,70
"inst",233,"obese","second",21,18,148
"inst",233,"obese","second",22,11,88
"inst",233,"obese","second",23,5,27
"inst",233,"obese","second",24,19,150.5
"inst",234,"obese","second",1,17,184
"inst",234,"obese","second",2,17,217
"inst",234,"obese","second",3,27,238
"inst",234,"obese","second",4,32,194.5
"inst",234,"obese","second",5,33,157.5
"inst",234,"obese","second",6,30,202.5
"inst",234,"obese","second",7,27,188
"inst",234,"obese","second",8,28,203
"inst",234,"obese","second",9,25,148.5
"inst",234,"obese","second",10,24,152
"inst",234,"obese","second",11,28,174
"inst",234,"obese","second",12,29,183.5
"inst",234,"obese","second",13,30,201.5
"inst",234,"obese","second",14,28,153
"inst",234,"obese","second",15,29,208.5
"inst",234,"obese","second",16,26,200.5
"inst",234,"obese","second",17,26,190.5
"inst",234,"obese","second",18,26,171
"inst",234,"obese","second",19,30,175
"inst",234,"obese","second",20,28,151
"inst",234,"obese","second",21,22,134.5
"inst",234,"obese","second",22,18,108
"inst",234,"obese","second",23,24,152.5
"inst",234,"obese","second",24,22,124
"inst",235,"obese","second",1,19,257
"inst",235,"obese","second",2,12,108
"inst",235,"obese","second",3,18,78
"inst",235,"obese","second",4,22,121.5
"inst",235,"obese","second",5,25,255.5
"inst",235,"obese","second",6,19,203.5
"inst",235,"obese","second",7,22,201
"inst",235,"obese","second",8,26,288
"inst",235,"obese","second",9,20,186
"inst",235,"obese","second",10,25,231
"inst",235,"obese","second",11,23,194.5
"inst",235,"obese","second",12,22,194
"inst",235,"obese","second",13,23,204
"inst",235,"obese","second",14,22,175
"inst",235,"obese","second",15,24,167
"inst",235,"obese","second",16,25,193
"inst",235,"obese","second",17,24,197
"inst",235,"obese","second",18,27,225.5
"inst",235,"obese","second",19,25,214.5
"inst",235,"obese","second",20,24,220
"inst",235,"obese","second",21,22,155.5
"inst",235,"obese","second",22,24,157
"inst",235,"obese","second",23,23,176
"inst",235,"obese","second",24,24,154.5
"inst",236,"obese","second",1,20,194
"inst",236,"obese","second",2,24,208
"inst",236,"obese","second",3,19,159
"inst",236,"obese","second",4,19,124
"inst",236,"obese","second",5,15,94
"inst",236,"obese","second",6,15,64
"inst",236,"obese","second",7,16,75
"inst",236,"obese","second",8,12,76
"inst",236,"obese","second",9,17,87
"inst",236,"obese","second",10,15,72
"inst",236,"obese","second",11,14,54
"inst",236,"obese","second",12,18,103
"inst",236,"obese","second",13,17,85
"inst",236,"obese","second",14,8,33
"inst",236,"obese","second",15,18,126
"inst",236,"obese","second",16,13,73
"inst",236,"obese","second",17,14,63
"inst",236,"obese","second",18,7,27
"inst",236,"obese","second",19,7,31
"inst",236,"obese","second",20,2,6
"inst",236,"obese","second",21,6,18
"inst",236,"obese","second",22,12,41
"inst",236,"obese","second",23,11,33
"inst",236,"obese","second",24,5,13
"inst",237,"obese","second",1,8,113
