bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-control124_ses-second_task-hedonicreactivity_run-01_bold	0.003713760932944606	0.016015331311953353	0	36.193014652222196	1.1001773013157894	1.0025231372807015	0.5310958126207748	2408.626953125	0.44885463341090276	230	67.05539358600583	2.457387798184054	2.3535033333333333	2.7077266666666664	2.3109333945521615	0.0281503	0.009626864455640316	0.014944734051823616	343	70	70	40	5.784451887050403	2.0	3.0	3.0	3.5999999046325684	11.242218732505359	8.1132498540552	47.01068115234375	13.364432334899902	117529.0	6.335277080535889	243.05715332031247	87.90167236328125	4.129245853076875	101.24913519649023	688.0440673828125	687.11083984375	40019.0	527.215478515625	864.186932373047	118.78433227539062	39.45576237258501
sub-control124_ses-second_task-pav_run-01_bold	0.0021860629921259846	0.011169982440944883	0	32.558608342761325	1.1391582920907295	0.9993494709861931	0.5375187359894255	2202.904541015625	0.3048149551301442	271	53.346456692913385	2.4673474276961422	2.3916833333333334	2.712736666666667	2.2976222830884265	0.0178009	0.0002022959233727306	0.008725139312446117	508	70	70	40	5.610751992358423	2.0	3.0	3.0	3.5999999046325684	10.539417287036311	8.816814154616209	50.74603271484375	13.775590896606445	117507.0	6.257874011993408	268.04645385742185	93.5989990234375	4.473055283934735	102.00043554555901	682.5679931640625	682.970458984375	40234.0	519.6462707519531	860.0759063720702	121.72378540039062	47.669163153273985
sub-control124_ses-second_task-inst_run-01_bold	0.0028154042553191487	0.013534030340425532	0	37.67821091854703	1.1818017753846153	1.025015865341881	0.535062900369512	2201.073486328125	0.4324427080151459	172	73.19148936170212	2.485547057475936	2.40789	2.7341233333333332	2.314627839094476	0.0174602	0.0004855255829170346	0.010190232656896114	235	70	70	40	5.529795859946526	2.0	3.0	3.0	3.5999999046325684	11.1139409509917	8.554929369622664	48.78680419921875	13.778722763061523	117377.0	6.319148540496826	256.3131774902343	90.2671127319336	4.544179282180818	100.99367950417813	679.3526611328125	680.5617065429688	40395.0	512.5718933105469	855.061242675781	123.07023620605469	42.69424530444667
sub-control125_ses-second_task-PIT_run-01_bold	0.00139204845814978	0.013157853436123348	0	30.714112435540844	1.1459004940397348	1.0057237131125831	0.46887517081142993	3276.330078125	0.2539923847817349	233	51.3215859030837	2.3751985866058916	2.2882233333333333	2.634333333333333	2.203039093151008	0.0335444	-0.017862631008028984	0.015469162724912167	454	70	70	40	5.901423497764931	2.0	3.0	3.0	3.5999996662139893	30.92955218224001	6.214519062108039	29.13224983215332	10.909690856933594	127877.0	5.462554931640625	122.5740005493163	56.73142623901367	6.94576993355126	79.64905786768965	637.3013916015625	643.0374145507812	31909.0	487.6576843261719	780.7770751953124	108.96139526367188	52.19163997331634
sub-control125_ses-second_task-hedonicreactivity_run-01_bold	0.0005743174603174603	0.012286430952380953	0	34.92119429481718	1.2003351143243264	1.0091516412082668	0.4694652356866428	3234.168701171875	0.2877085842305834	472	74.92063492063492	2.361068030572579	2.27994	2.6156833333333336	2.187580758384404	0.0210241	-0.018124446272850037	0.014511724933981895	630	70	70	40	5.929766413329592	2.0	3.0	3.0	3.5999996662139893	30.168429537154218	6.196336055315988	29.340959548950195	10.906349182128906	127906.0	5.460317611694336	125.14881134033203	57.17615509033203	6.697617762259158	80.10757504549531	638.0537719726562	642.9793701171875	31859.0	489.24729919433594	782.3859008789061	108.43079376220703	53.91563754528761
sub-control125_ses-second_task-pav_run-01_bold	0.0006380439121756487	0.010626732035928144	0	33.26624545284003	1.1759738850600001	1.00435777882	0.468244105953324	3275.17041015625	0.2944869341813487	360	71.8562874251497	2.3651084009551404	2.2873466666666666	2.6200033333333335	2.1879752028654207	0.0288073	-0.018114570528268814	0.014081410132348537	501	70	70	40	5.911403884711899	2.0	3.0	3.0	3.5999996662139893	32.02788570093956	6.13755870820487	28.949317932128906	10.878243446350098	127876.0	5.403193473815918	121.46257209777832	57.156219482421875	6.860621141421712	79.6994612756308	637.7931518554688	643.4830322265625	31899.0	489.2205596923828	782.0714782714844	108.85281372070312	57.354255301645026
sub-control125_ses-second_task-inst_run-01_bold	0.000855495867768595	0.01030164326446281	0	33.19230858402491	1.2018380612033197	1.01661264473029	0.46735957431355785	3309.742431640625	0.2546367100437264	150	61.98347107438016	2.3432298819816153	2.2622166666666668	2.59422	2.1732529792781783	0.0131973	-0.01820570044219494	0.013300222344696522	242	70	70	40	5.995412323335812	2.0	3.0	3.0	3.5999996662139893	32.384563008191414	6.003926333560208	28.41349983215332	10.747933387756348	127998.0	5.388429641723633	118.76032257080078	56.3062858581543	7.142998445356353	78.36960762553568	634.6476440429688	639.8098754882812	31781.0	492.0784912109375	775.6859130859375	106.71489715576172	59.50293788278941
sub-control126_ses-second_task-PIT_run-01_bold	0.002080497835497835	0.01649990121212121	0	30.28517721021694	1.2046006067895874	1.0093795814316702	0.5020165521269365	3132.625	0.17652377407661307	108	23.376623376623378	2.4585989088975064	2.3305166666666666	2.7793799999999997	2.2659000600258525	0.0310597	-0.016764191910624504	0.018214521929621696	462	70	70	40	5.945277349733103	2.0	3.0	3.0	3.5999999046325684	35.9461322386044	7.220464927525307	30.292688369750977	13.071428298950195	117259.0	6.51298713684082	128.84307556152314	54.31507110595703	6.555425478457851	95.94555649627083	755.2523193359375	764.5866088867188	40321.0	568.7337646484375	922.919921875	128.60243225097656	49.29096789448522
sub-control126_ses-second_task-hedonicreactivity_run-01_bold	0.006759983498349836	0.04797017887788779	0	34.74566466279337	1.0246831483801657	0.9147204496694215	0.505665460096732	2788.943115234375	0.38680959897199657	171	28.217821782178216	2.5784633543249122	2.42477	2.933403333333333	2.377216729641404	0.0697782	-0.015398368239402771	0.021334191784262657	606	70	70	40	5.853295456910797	2.0	3.0	3.0	3.5999999046325684	25.896117464068414	8.379394072016165	31.91453742980957	14.117161750793457	117014.0	6.690841674804689	131.48358764648432	52.91353988647461	5.996706050380405	98.70806141122071	758.9925537109375	767.8812255859375	40668.0	561.4631286621094	930.5803344726562	131.1862335205078	27.25783740647603
sub-control126_ses-second_task-pav_run-01_bold	0.0006205719921104537	0.01652863956607495	0	30.853144539920958	1.215960772134388	0.9625328875494076	0.5004204490401386	3273.02587890625	0.11163113325903384	21	4.1420118343195265	2.4633605757574837	2.33027	2.77202	2.2877917272724506	0.013148	-0.016804730519652367	0.018499787896871567	507	70	70	40	5.921808499529617	2.0	3.0	3.0	3.5999999046325684	36.902326799808826	6.965598839710282	29.156301498413086	12.790926933288574	117125.0	6.540433883666992	122.2063110351562	51.74322509765625	6.60125945166218	96.46560745755937	756.375732421875	764.723876953125	40453.0	570.0355102539063	924.9779296875	129.13528442382812	52.55460460949689
