ID;CDS1;CDS2;CDS3;CDS4;CDS5;CDS6;CDS7;CDS8;CDS9;CDS10;CDS11;CDS12
Sub - 146;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 147;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 148;2;3;4;1;2;1;1;1;2;1;1;4
Sub - 149;7;3;1;3;3;4;4;5;2;1;1;5
Sub - 150;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 151;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 152;1;1;1;1;1;1;1;1;1;1;1;3
Sub - 153;1;1;5;2;1;1;5;4;5;1;2;5
Sub - 154;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 155;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 156;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 157;1;1;1;1;1;1;1;1;1;1;1;1
Sub - 158;1;1;1;1;1;1;1;1;1;1;1;1
