"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"88","sub-01",88,30,2,"bin04","congr","CSpR",0.2842716,0,0,0,0.1846154,0,0.124031,0.124031,0.2015504,-0.06443556,1,NA
"89","sub-01",89,29,2,"bin04","congr","CSpL",0.2953516,0,0,0,0.3246753,0.6136364,0,0.6136364,0.1060606,-0.1308781,1,NA
"90","sub-01",90,30,2,"bin04","congr","CSpL",-0.190225,0,0,0,0.01290323,0.3730159,0,0.3730159,0,-0.03178429,1,NA
"91","sub-01",91,31,2,"bin04","congr","CSmi",-0.4828713,0,0,0,0.1896552,0,0,0,0,NA,1,NA
"92","sub-01",92,31,2,"bin04","congr","CSpL",-0.1628216,0,0,0,0.3296703,0.3787879,0,0.3787879,0,0.0391479,1,NA
"93","sub-01",93,31,2,"bin04","congr","CSpR",0.4609647,0,0,0,0.04705882,0,0.7570093,0.7570093,0,-0.04249652,1,NA
"94","sub-01",94,32,2,"bin04","incongr","CSmi",-0.1715443,0,0,0,0.5357143,0,0,0,0.0610687,0.2592499,1,NA
"95","sub-01",95,33,2,"bin04","congr","CSmi",-0.06647752,0,0,0,0,0,0.2520325,0.1260163,0,NA,1,NA
"96","sub-01",96,32,2,"bin04","congr","CSpR",-0.1081687,0,0.2930233,0.2930233,0.09302326,0,0.892562,0.892562,0,-0.08139769,1,NA
"97","sub-01",97,32,2,"bin04","congr","CSpL",-0.2725773,0,0,0,0,0.1640625,0,0.1640625,0.2265625,-0.05091735,1,NA
"98","sub-01",98,33,2,"bin04","congr","CSpL",-0.9290974,0,0,0,0.4545455,0.1311475,0.08196721,0.1311475,0.1393443,-0.3260653,1,NA
"99","sub-01",99,33,2,"bin04","congr","CSpR",-0.3105734,0,0,0,0.01123596,0,0,0,0.008064516,-0.09995739,1,NA
"100","sub-01",100,34,2,"bin04","incongr","CSpL",-0.2684338,0,0,0,0.5,0,0,0,0.2030075,0.1667724,1,NA
"101","sub-01",101,35,2,"bin04","congr","CSpL",-0.3182452,0,0,0,0.005952381,0.125,0.075,0.125,0,0.04046163,1,NA
"102","sub-01",102,36,2,"bin04","congr","CSpL",0.3091353,0,0,0,0.006896552,0.4655172,0,0.4655172,0.00862069,0.06708216,1,NA
"103","sub-01",103,34,2,"bin04","congr","CSpR",0.3776899,0,0.1394231,0.1394231,0.2019231,0.128,0.512,0.512,0,NA,1,NA
"104","sub-01",104,35,2,"bin04","congr","CSpR",0.1691463,0,0,0,0.1428571,0,0.6218487,0.6218487,0.008403361,0.01835028,1,NA
"105","sub-01",105,34,2,"bin04","incongr","CSmi",0.6992681,0,0,0,0,0,0,0,0.3769231,0.1498257,1,NA
"106","sub-01",106,35,2,"bin04","incongr","CSmi",-0.1056248,0,0,0,0.35,0,0,0,0.1259259,0.09325473,1,NA
"107","sub-01",107,36,2,"bin04","incongr","CSpR",-0.7647529,0,0,0,0.2435897,0,0,0,0,0.01386772,1,NA
"108","sub-01",108,36,2,"bin04","congr","CSmi",-0.1198104,0,0,0,0,0.224,0.368,0.296,0,NA,1,NA
"109","sub-01",109,37,3,"bin05","congr","CSpL",-0.4661011,0,0,0,0.1699346,0.648,0.112,0.648,0.088,0.1011628,1,NA
