ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   63   23   02   bin03    congr   CSpL  -5.261468e-01   0   0   0   1.234568e-02   0   0   0   1.626016e-02   2.696582e-03   1   NaN
sub-01   64   22   02   bin03    congr   CSmi  1.557842e-01   0   0   0   1.369863e-02   0   0   0   0   NaN   1   NaN
sub-01   65   20   02   bin03    congr   CSpR  -8.985667e-02   0   0   0   0   0   0   0   0   -1.501891e-01   1   NaN
sub-01   66   23   02   bin03    congr   CSmi  3.208855e-01   0   0   0   7.511737e-01   8.800000e-02   1.840000e-01   1.360000e-01   2.880000e-01   NaN   1   NaN
sub-01   67   24   02   bin03    congr   CSmi  3.889831e-01   0   0   0   8.771930e-03   0   0   0   0   NaN   1   NaN
sub-01   68   21   02   bin03    congr   CSpR  3.930644e-01   0   0   0   3.906250e-01   1.478261e-01   1.304348e-01   1.304348e-01   0   -2.847501e-01   1   NaN
sub-01   69   24   02   bin03    congr   CSpL  -2.842039e-01   0   0   0   1.020408e-02   2.231405e-01   0   2.231405e-01   8.264463e-03   -2.433490e-01   1   NaN
sub-01   70   25   02   bin03    congr   CSpL  1.075687e-01   0   0   0   8.333333e-03   0   0   0   1.626016e-02   3.249256e-03   1   NaN
sub-01   71   22   02   bin03    incongr   CSpR  5.327930e-01   0   0   0   1.698113e-01   1.983471e-01   2.066116e-01   2.066116e-01   0   -5.604853e-02   1   NaN
sub-01   72   26   02   bin03    congr   CSpL  -2.990304e-01   0   0   0   3.070175e-01   3.870968e-01   1.451613e-01   3.870968e-01   0   -5.539017e-02   1   NaN
sub-01   73   27   02   bin03    congr   CSpL  -2.690402e-01   0   0   0   1.525424e-01   3.615385e-01   0   3.615385e-01   1.000000e-01   NaN   1   NaN
sub-01   74   25   02   bin03    congr   CSmi  4.988690e-01   0   0   0   9.401709e-02   5.426357e-02   1.782946e-01   1.162791e-01   1.550388e-02   NaN   1   NaN
sub-01   75   23   02   bin03    congr   CSpR  -1.148858e+00   0   0   0   6.849315e-03   0   0   0   0   2.417212e-02   1   NaN
sub-01   76   24   02   bin03    congr   CSpR  -3.107371e-01   0   0   0   8.333333e-02   0   0   0   4.015748e-01   NaN   1   NaN
sub-01   77   25   02   bin03    congr   CSpR  -3.055515e-02   0   0   0   6.422018e-02   0   2.769231e-01   2.769231e-01   0   -1.459191e-01   1   NaN
sub-01   78   26   02   bin03    congr   CSmi  7.390197e-01   0   0   0   0   0   0   0   3.385827e-01   NaN   1   NaN
sub-01   79   27   02   bin03    congr   CSmi  5.510761e-01   0   0   0   1.629630e-01   0   0   0   7.751938e-03   NaN   1   NaN
sub-01   80   28   02   bin04    congr   CSmi  1.458159e-01   0   0   0   8.130081e-02   0   0   0   0   NaN   1   NaN
sub-01   81   28   02   bin04    incongr   CSpL  3.402669e-02   0   0   0   4.230769e-01   0   0   0   1.328125e-01   2.510974e-02   1   NaN
sub-01   82   26   02   bin03    congr   CSpR  2.299713e-01   0   0   0   2.057416e-01   0   0   0   7.874016e-02   3.458768e-02   1   NaN
